
_S000_DD(){
:DTC
0100 [1]油门位置传感器失效;
0200 [2]油门位置传感器大于最大值 ;
0300 [3]油门位置传感器小于最小值 ;
0600 [6]制动踏板位置传感器失效 ;
0700 [7]制动踏板位置传感器大于最大值 ;
0800 [8]制动踏板位置传感器小于最小值;
0900 [9]档位失效(无档位信号);
0a00 [10]档位信号不可信;
0b00 [11]制动开关失效;
0d00 [13]预充电失败告警;
1000 [16]VCU本身器件损坏;
1100 [17]油门开关失效;
1200 [18]无BMS通信;
1300 [19]无电机控制器通信;
6500 [101]通讯故障;
6600 [102]硬件故障;
6700 [103]致命故障;
6800 [104]电机过载故障;
6900 [105]过流故障;
6a00 [106]母线电压过低;
6b00 [107]母线电压偏低;
6c00 [108]母线电压过高;
6d00 [109]母线电压偏高;
6e00 [110]控制器温度过高;
6f00 [111]控制器温度偏高;
7000 [112]电机温度过高;
7100 [113]电机温度偏高;
7200 [114]电控存储单元故障;
7300 [115]电流温度传感器故障;
7400 [116]控制器过载;
:END}

_S001_DaTong(){
:DTC
:END}

_S002_SCE60(){
:DTC
0030 [P0030]上游氧传感器加热器开路;
0031 [P0031]上游氧传感器加热器对地短路;
0032 [P0032]上游氧传感器加热器对电瓶短路;
0036 [P0036]下游氧传感器加热器开路;
0037 [P0037]下游氧传感器加热器对地短路;
0038 [P0038]下游氧传感器加热器对电瓶短路;
0044 [030]上游氧传感器加热器开路;
0053 [P0053]上游氧传感器加热器电阻超限;
0054 [P0054]下游氧传感器加热器电阻超限;
0107 [P0107]进气压力传感器对地短路或开路;
0108 [P0108]进气压力传感器对电瓶短路;
0109 [P0109]进气压力传感器电路间歇性故障;
0112 [P0112]进气温度传感器对地短路;
0113 [P0113]进气温度传感器对电瓶短路或开路;
0114 [P0114]进气温度传感器电路间歇性故障;
0115 [P0115]冷却液温度信号对电瓶短路;
0116 [P0116]水温传感器总是在低值;
0117 [P0117]水温传感器对地短路;
0118 [P0118]水温传感器对电瓶短路或开路;
0119 [P0119]冷却液温度传感器电路间歇性故障;
0122 [P0122]节气门位置传感器1对地短路;
0123 [P0123]节气门位置传感器1对电瓶短路或开路;
0125 [P0125]冷却液温度不足以激活氧传感器,不足以使燃油喷射进入闭环控制;
0128 [P0128]节温器监视错误;
0130 [P0130]上游氧传感器开路;
0131 [P0131]上游氧传感器对地短路或漏气;
0132 [P0132]上游氧传感器对电瓶短路;
0133 [P0133]上游氧传感器响应慢;
0136 [P0136]下游氧传感器开路;
0137 [P0137]下游氧传感器对地短路或空气泄漏;
0138 [P0138]下游下游氧传感器对电瓶短路;
0171 [P0171]燃油系统太稀;
0172 [P0172]燃油系统太浓;
0201 [P0201]气缸1喷油嘴电路开路;
0202 [P0202]气缸2喷油嘴电路开路;
0203 [P0203]气缸3喷油嘴电路开路;
0204 [P0204]气缸4喷油嘴电路开路;
0218 [P0218]传动油过热;
0222 [P0222]节气门位置传感器2对地短路或开路;
0223 [P0223]节气门位置传感器2对电瓶短路;
0234 [P0234]增压器旁通阀诊断故障,卡在关闭位置;
0261 [P0261]气缸1喷油嘴电路对地短路;
0262 [P0262]气缸1喷油嘴电路对电瓶短路;
0264 [P0264]气缸2喷油嘴电路对地短路;
0265 [P0265]气缸2喷油嘴电路对电瓶短路;
0267 [P0267]气缸3喷油嘴电路对地短路;
0268 [P0268]气缸3喷油嘴电路对电瓶短路;
0270 [P0270]气缸4喷油嘴电路对地短路;
0271 [P0271]气缸4喷油嘴电路对电瓶短路;
0300 [P0300]至少一个气缸失火,随机多缸检测到失火;
0301 [P0301]气缸1失火;
0302 [P0302]气缸2失火;
0303 [P0303]气缸3失火;
0304 [P0304]气缸4失火;
0313 [P0313]低油位失火;
0324 [P0324]爆震传感器电路故障,SPI通讯不可靠;
0326 [P0326]爆震传感器信号噪声过低;
0335 [P0335]曲轴位置传感器无信号;
0336 [P0336]曲轴位置传感器信号不可靠;
0340 [P0340]凸轮轴位置传感器无信号;
0341 [P0341]凸轮轴位置传感器,不合理信号;
0420 [P0420]催化转换器故障;
0441 [P0441]油箱泄漏诊断泵功能,CPS卡在固定位置;
0442 [P0442]油箱泄漏诊断泵功能,泄漏超过1mm;
0443 [P0443]碳罐电磁阀对电瓶短路;
0444 [P0444]碳罐电磁阀开路;
0445 [P0445]碳罐电磁阀对地短路;
0455 [P0455]油箱泄漏诊断泵功能,较大泄漏,油箱盖丢失;
0456 [P0456]油箱泄漏诊断泵功能,泄漏超过0.5mm;
0501 [P0501]车速输入信号不合理;
0553 [P0553]空调冷媒压力传感器对电瓶短路或开路;
0562 [P0562]系统继电器后电瓶电压开路;
0563 [P0563]系统继电器后电瓶电压对电瓶短路(继电器关);
0568 [P0568]巡航设置信号故障,超出输出范围;
0571 [P0571]制动开关不合理信号;
0575 [P0575]巡航控制电气故障;
0601 [P0601]ECU自检校验和故障;
0603 [P0603]ECU自检NVMY写入故障;
0604 [P0604]ECU自检内部RAM故障;
0608 [P0608]车速传感器输出到仪表板对地或电瓶短路或开路;
0638 [P0638]节气门阀片故障;
0642 [P0642]第一传感器诊断,对地短路;
0643 [P0643]第一传感器诊断,对电池短路;
0646 [P0646]空调压缩机对地短路/开路;
0647 [P0647]空调压缩机对电瓶短路;
0650 [P0650]故障指示灯对地或电瓶短路;
0652 [P0652]第二传感器对地短路;
0653 [P0653]第二传感器对电瓶短路;
0686 [P0686]主继电器对地短路/开路;
0687 [P0687]主继电器对电瓶短路;
0691 [P0691]发动机冷却风扇1控制电路对地短路/开路;
0692 [P0692]发动机冷却风扇1控制电路对电瓶短路;
0693 [P0693]发动机冷却风扇2控制电路对地短路/开路;
0694 [P0694]发动机冷却风扇2控制电路对电瓶短路;
0700 [P0700]无级变速器故障指示灯对电瓶短路;
0702 [P0702]无级变速器故障指示灯对地短路或开路;
0704 [P0704]离合器开关输入电路不合理信号;
0705 [P0705]传动范围传感器电路不合理信号;
0712 [P0712]传动油温度传感器对地短路;
0713 [P0713]传动油温度传感器对电瓶短路或开路;
0714 [P0714]变速器油温传感器间歇性故障;
0721 [P0721]速度输出传感器电路范围不合理信号;
0790 [P0790]常规/性能模式开关对地短路;
0814 [P0814]档位/巡航状态信号对电池短路;
0815 [P0815]加档选择开关2电路对地短路;
0816 [P0816]降档选择开关2电路对地短路;
1106 [P1106]进气压力传感器,发动机停机时MAP(进气压力)太低;
1107 [P1107]进气压力传感器,发动机怠速时MAP太低;
1108 [P1108]进气压力传感器,低发动机转速时MAP太低;
1109 [P1109]进气压力传感器,在减速时MAP太高;
1115 [P1115]发动机温度(水温)信号对地短路;
1125 [P1125]节气门位置传感器合理性故障;
1126 [P1126]节气门位置传感器合理性故障;
1229 [P1229]自学习失败;
1234 [P1234]油泵继电器对地短路/开路;
1236 [P1236]油泵继电器对电瓶短路;
1320 [P1320]失火事件测量,曲轴信号,飞轮自学习到达极限值;
1321 [P1321]失火事件测量,曲轴信号,飞轮齿故障;
1475 [P1475]油箱泄漏诊断泵功能,簧片开关打开;
1476 [P1476]油箱泄漏诊断泵功能,管路夹住;
1477 [P1477]油箱泄漏诊断泵功能,簧片开关关闭;
1497 [P1497]节气门后空气泄漏;
1498 [P1498]增压器后空气泄漏到进气歧管;
1575 [P1575]第二传感器诊断,信号噪声;
1600 [P1600]ECU自测试,外部RAM错误;
1607 [P1607]总线关闭;
1611 [P1611]发动机控制模块CAN信息,框架丢失;
1612 [P1612]发动机控制模块到仪表总成CAN信息错误,帧丢失;
1613 [P1613]发动机控制模块到制动控制模块CAN信息错误,帧丢失;
1615 [P1615]SPI-总线故障,在QPS水平的SPI-总线故障;
1616 [P1616]ECM编码内存校验和错误;
1617 [P1617]电子节气门H桥故障;
1626 [P1626]发电机负载传感器对地短路;
1627 [P1627]发电机负载传感器对电瓶短路或开路;
1650 [P1650]故障指示灯对地短路或开路;
1651 [P1651]电子节气门故障指示灯对电瓶短路;
1652 [P1652]电子节气门故障指示灯对地短路或开路;
1656 [P1656]防盗设置,请求服务接受错误;
1661 [P1661]发动机防盗信号电路故障,没有成功通讯;
1679 [P1679]扭矩损失补偿故障,错误扭矩损失;
1680 [P1680]模拟/数字转换器故障;
1681 [P1681]发动机转速故障;
1682 [P1682]怠速控制器-部分负荷故障;
1683 [P1683]怠速控制器-怠速故障;
1684 [P1684]离合器最小扭矩故障;
1685 [P1685]离合器最小扭矩故障;
1686 [P1686]在L1和L2之间的不同PVS诊断;
1687 [P1687]在L1和L2之间的不同节气门位置传感器诊断;
1688 [P1688]进气流量计信号错误,空气流量信号故障;
1689 [P1689]扭矩产生故障;
1691 [P1691]发动机转速限制错误;
1692 [P1692]不输出功率最终请求错误,停止功率的MTC阶段最终请求故障;
1693 [P1693]暂时请求错误,停止功率的MTC和IV阶段的暂时请求故障;
1698 [P1698]传动控制模块错误,内部故障;
1699 [P1699]传动控制模块,校验和错误;
